frame,timestamp,local_track_id,global_student_id,reid_confidence,class_name,gaze_score,posture_score,motion_score,head_down,writing_posture,activity,engagement_score
59,1776751306.1632817,13,8,1.0,person,0.85,0.85,0.1199645772576332,True,True,WRITING,0.9690918035450437
59,1776751306.1632817,9,1,1.0,person,0.85,1.0,0.1242654472589492,True,True,WRITING,0.9916156977415084
61,1776751308.5310595,1,20,1.0,person,0.55,1.0,0.2599949836730957,False,False,,0.6860180589414778
61,1776751308.5310595,2,2,1.0,person,0.85,1.0,0.135007232427597,True,True,WRITING,0.9935611316135952
61,1776751308.5310595,3,3,1.0,person,0.85,1.0,0.1580754220485687,True,True,WRITING,0.9939759664592288
61,1776751308.5310595,5,4,1.0,person,0.9934788043470172,1.0,0.0565553680062294,True,True,WRITING,0.9955631288744154
61,1776751308.5310595,7,5,1.0,person,0.55,1.0,0.1278468966484069,False,False,,0.8621569878998256
61,1776751308.5310595,10,7,1.0,person,0.85,1.0,0.1404743492603302,True,True,WRITING,0.9936770307166236
61,1776751308.5310595,13,8,1.0,person,0.85,0.85,0.2053235471248626,True,True,WRITING,0.9717184773513248
61,1776751308.5310595,9,1,1.0,person,0.85,1.0,0.1485438644886016,True,True,WRITING,0.9917264403331846
63,1776751310.854178,1,20,1.0,person,0.55,1.0,0.1388734281063079,False,False,,0.6916886951242174
63,1776751310.854178,2,2,1.0,person,0.85,1.0,0.0720103234052658,True,True,WRITING,0.9937218519903364
63,1776751310.854178,3,3,1.0,person,0.85,1.0,0.1180026978254318,True,True,WRITING,0.9940624804723828
63,1776751310.854178,5,4,1.0,person,0.9894044356070316,1.0,0.1324822008609771,True,True,WRITING,0.9950076597077504
