frame,timestamp,student_id,class_name,gaze_score,posture_score,motion_score,engagement_score
12,1775027069.9390905,1,person,0.5,0.6,0.40478283166885376,0.5107173919677734
12,1775027069.9390905,2,person,0.5,1.0,0.5811222195625305,0.6371683478355408
12,1775027069.9390905,3,person,0.5,1.0,0.1218385249376297,0.5682758092880249
12,1775027069.9390905,6,person,0.5,0.6,0.1256818324327469,0.4688522517681122
12,1775027069.9390905,9,person,0.5,0.6,0.37578973174095154,0.5063684582710266
12,1775027069.9390905,11,person,0.5,1.0,0.10971046984195709,0.5664565563201904
12,1775027069.9390905,12,person,0.5,1.0,0.09245137125253677,0.5638676881790161
12,1775027069.9390905,13,person,0.5,1.0,0.4220232367515564,0.6133034825325012
12,1775027069.9390905,15,person,0.7142418026924133,1.0,0.22632738947868347,0.7124941945075989
12,1775027069.9390905,14,person,0.5,0.6,0.28217813372612,0.4923267066478729
12,1775027069.9390905,7,person,0.5,1.0,0.2798407971858978,0.5919761061668396
13,1775027072.2067995,1,person,0.5,0.6,0.3090978264808655,0.49636465311050415
13,1775027072.2067995,2,person,0.5,1.0,0.7229673862457275,0.6584451198577881
13,1775027072.2067995,3,person,0.5,1.0,0.14008858799934387,0.571013331413269
13,1775027072.2067995,6,person,0.5,0.6,0.19352653622627258,0.47902897000312805
13,1775027072.2067995,9,person,0.5,1.0,0.23303166031837463,0.5849547386169434
13,1775027072.2067995,11,person,0.5,1.0,0.0990578904747963,0.5648586750030518
13,1775027072.2067995,12,person,0.5,1.0,0.1160769909620285,0.5674115419387817
13,1775027072.2067995,13,person,0.5,1.0,0.1742849051952362,0.5761427283287048
14,1775027074.1261122,1,person,0.5,1.0,0.3519855737686157,0.6027978658676147
14,1775027074.1261122,2,person,0.5,1.0,0.1266755312681198,0.569001317024231
14,1775027074.1261122,3,person,0.5,1.0,0.27124279737472534,0.5906864404678345
14,1775027074.1261122,6,person,0.5,0.6,0.08265570551156998,0.46239835023880005
14,1775027074.1261122,9,person,0.5,1.0,0.3166100084781647,0.5974915027618408
14,1775027074.1261122,11,person,0.5,1.0,0.23378674685955048,0.5850680470466614
14,1775027074.1261122,12,person,0.5,1.0,0.07082214206457138,0.5606233477592468
14,1775027074.1261122,13,person,0.5,1.0,0.11099330335855484,0.5666490197181702
14,1775027074.1261122,15,person,0.7915749549865723,1.0,0.22330430150032043,0.7584406137466431
14,1775027074.1261122,14,person,0.5,1.0,0.35683006048202515,0.6035245060920715
14,1775027074.1261122,7,person,0.5,1.0,0.24900920689105988,0.587351381778717
15,1775027076.45439,1,person,0.5,1.0,0.3472820520401001,0.6020923256874084
15,1775027076.45439,2,person,0.5,1.0,0.4026440978050232,0.6103966236114502
15,1775027076.45439,3,person,0.49644792079925537,1.0,0.32480061054229736,0.5965888500213623
15,1775027076.45439,6,person,0.5,0.6,0.12143335491418839,0.4682149887084961
15,1775027076.45439,9,person,0.5,1.0,0.38530486822128296,0.6077957153320312
15,1775027076.45439,11,person,0.5,1.0,0.08512230962514877,0.5627683401107788
15,1775027076.45439,12,person,0.5,1.0,0.08554605394601822,0.5628319382667542
15,1775027076.45439,13,person,0.5,1.0,0.09779126942157745,0.5646687150001526
15,1775027076.45439,15,person,0.7828734517097473,1.0,0.22272296249866486,0.7531325221061707
15,1775027076.45439,7,person,0.5,1.0,0.1337209790945053,0.5700581669807434
16,1775027078.9502764,1,person,0.5,1.0,0.27673277258872986,0.5915099382400513
16,1775027078.9502764,2,person,0.5,1.0,0.47089719772338867,0.6206346154212952
16,1775027078.9502764,3,person,0.7218736410140991,1.0,0.25110846757888794,0.720790445804596
16,1775027078.9502764,6,person,0.5,0.6,0.1535464972257614,0.4730319678783417
16,1775027078.9502764,9,person,0.5,1.0,0.6802810430526733,0.6520421504974365
16,1775027078.9502764,11,person,0.5,1.0,0.10193796455860138,0.5652906894683838
16,1775027078.9502764,12,person,0.5,1.0,0.17931275069713593,0.5768969058990479
16,1775027078.9502764,13,person,0.5,1.0,0.23224981129169464,0.5848374962806702
16,1775027078.9502764,7,person,0.5,1.0,0.16965137422084808,0.5754477381706238
17,1775027081.431172,1,person,0.5,0.6,0.20686385035514832,0.48102957010269165
17,1775027081.431172,2,person,0.5,1.0,0.5853568911552429,0.6378035545349121
17,1775027081.431172,3,person,0.7125831842422485,1.0,0.1682104766368866,0.7027814984321594
17,1775027081.431172,6,person,0.5,0.6,0.12887801229953766,0.46933168172836304
17,1775027081.431172,9,person,0.5,1.0,0.42188572883605957,0.6132828593254089
17,1775027081.431172,11,person,0.5,1.0,0.06499402970075607,0.5597491264343262
17,1775027081.431172,12,person,0.5,1.0,0.08955346047878265,0.563433051109314
17,1775027081.431172,13,person,0.5,1.0,0.37937694787979126,0.606906533241272
17,1775027081.431172,7,person,0.5,1.0,0.15592357516288757,0.5733885765075684
17,1775027081.431172,14,person,0.5,0.6,1.0,0.6
18,1775027083.566745,1,person,0.5,1.0,0.27088984847068787,0.5906335115432739
18,1775027083.566745,2,person,0.5,1.0,0.39208775758743286,0.6088131666183472
18,1775027083.566745,3,person,0.781654417514801,1.0,0.16194988787174225,0.7432851195335388
